tweet_id,airline,text
1,Virgin America,@VirginAmerica What @dhepburn said.
2,Virgin America,@VirginAmerica plus you've added commercials to the experience... tacky.
3,Virgin America,@VirginAmerica I didn't today... Must mean I need to take another trip!
4,Virgin America,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
5,Virgin America,@VirginAmerica and it's a really big bad thing about it
6,Virgin America,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA"
7,Virgin America,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)"
8,Virgin America,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP"
9,Virgin America,"@virginamerica Well, I didn't…but NOW I DO! :-D"
10,Virgin America,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me."
11,Virgin America,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24
12,Virgin America,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D
13,Virgin America,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p
14,Virgin America,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn
15,Virgin America,@VirginAmerica Thanks!
16,Virgin America,@VirginAmerica SFO-PDX schedule is still MIA.
17,Virgin America,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo
18,Virgin America,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!
19,Virgin America,I ❤️ flying @VirginAmerica. ☺️👍
20,Virgin America,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.
21,Virgin America,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???
22,Virgin America,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA
23,Virgin America,@VirginAmerica I love the hipster innovation. You are a feel good brand.
24,Virgin America,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?
25,Virgin America,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet
26,Virgin America,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.
27,Virgin America,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail
28,Virgin America,@VirginAmerica do you miss me? Don't worry we'll be together very soon.
29,Virgin America,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS
30,Virgin America,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix
31,Virgin America,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢"
32,Virgin America,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?
33,Virgin America,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!"
34,Virgin America,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :("
35,Virgin America,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews
36,Virgin America,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP
